,Pa,D,D_true,REMSE,dist,sample,Pn
1027,0.202,16.6057 ,20.0357 ,-0.1988,lognorm,2000,0.1
1028,0.256,21.9724 ,20.0357 ,-0.1717,lognorm,2000,0.15
1029,0.317,20.2805 ,20.0357 ,0.2324,lognorm,2000,0.2
1030,0.333,21.5096 ,20.0357 ,0.2033,lognorm,2000,0.25
1031,0.392,20.4216 ,20.0357 ,-0.1781,lognorm,2000,0.3
1032,0.39,24.8199 ,20.0357 ,-0.1615,lognorm,2000,0.35
1033,0.469,16.1203 ,20.0357 ,0.1933,lognorm,2000,0.4
1034,0.508,23.8775 ,20.0357 ,0.2100,lognorm,2000,0.45
1035,0.491,21.8149 ,20.0357 ,0.3542,lognorm,2000,0.5
1036,0.536,23.1948 ,20.0357 ,0.3908,lognorm,2000,0.55
1037,0.578,19.2762 ,20.0357 ,0.3581,lognorm,2000,0.6
1038,0.636,19.1595 ,20.0357 ,0.2132,lognorm,2000,0.65
1039,0.709,26.4247 ,20.0357 ,0.2619,lognorm,2000,0.7
1040,0.717,24.3306 ,20.0357 ,0.3093,lognorm,2000,0.75
1041,0.775,34.1725 ,20.0357 ,0.8655,lognorm,2000,0.8
1042,0.825,27.7929 ,20.0357 ,1.0302,lognorm,2000,0.85
1043,0.842,27.7555 ,20.0357 ,0.9096,lognorm,2000,0.9
1044,0.94,25.4375 ,20.0357 ,0.7462,lognorm,2000,0.95
1045,0.95,46.7148 ,20.0357 ,1.1629,lognorm,2000,0.99
1046,0.235,30.4791 ,20.0357 ,-0.1676,lognorm,2250,0.1
1047,0.292,21.4792 ,20.0357 ,-0.1683,lognorm,2250,0.15
1048,0.321,18.3472 ,20.0357 ,-0.1614,lognorm,2250,0.2
1049,0.394,15.5917 ,20.0357 ,-0.1715,lognorm,2250,0.25
1050,0.438,22.3630 ,20.0357 ,0.2209,lognorm,2250,0.3
1051,0.475,29.4672 ,20.0357 ,0.2143,lognorm,2250,0.35
1052,0.494,27.3301 ,20.0357 ,0.2196,lognorm,2250,0.4
1053,0.509,22.3475 ,20.0357 ,-0.1708,lognorm,2250,0.45
1054,0.574,20.2954 ,20.0357 ,0.1955,lognorm,2250,0.5
1055,0.621,24.3411 ,20.0357 ,0.2187,lognorm,2250,0.55
1056,0.661,22.8883 ,20.0357 ,0.3968,lognorm,2250,0.6
1057,0.666,19.2349 ,20.0357 ,0.3833,lognorm,2250,0.65
1058,0.711,25.9615 ,20.0357 ,0.3950,lognorm,2250,0.7
1059,0.733,19.0145 ,20.0357 ,0.2452,lognorm,2250,0.75
1060,0.778,20.7842 ,20.0357 ,0.3135,lognorm,2250,0.8
1061,0.824,29.3235 ,20.0357 ,0.3932,lognorm,2250,0.85
1062,0.873,26.4464 ,20.0357 ,1.0108,lognorm,2250,0.9
1063,0.935,19.1324 ,20.0357 ,0.4641,lognorm,2250,0.95
1064,0.967,30.4428 ,20.0357 ,1.1109,lognorm,2250,0.99
1065,0.198,14.0461 ,20.0357 ,-0.3785,lognorm,250,0.1
1066,0.251,17.3269 ,20.0357 ,-0.4021,lognorm,250,0.15
1067,0.344,12.5752 ,20.0357 ,0.6833,lognorm,250,0.2
1068,0.429,15.3913 ,20.0357 ,0.7571,lognorm,250,0.25
1069,0.483,29.2798 ,20.0357 ,0.8763,lognorm,250,0.3
1070,0.523,17.6891 ,20.0357 ,1.1446,lognorm,250,0.35
1071,0.563,19.1632 ,20.0357 ,1.2878,lognorm,250,0.4
1072,0.607,45.5948 ,20.0357 ,1.7927,lognorm,250,0.45
1073,0.61,29.7850 ,20.0357 ,1.9410,lognorm,250,0.5
1074,0.629,23.4444 ,20.0357 ,2.0159,lognorm,250,0.55
1075,0.672,24.5651 ,20.0357 ,2.1962,lognorm,250,0.6
1076,0.698,491.2701 ,20.0357 ,2.4482,lognorm,250,0.65
1077,0.72,22.0585 ,20.0357 ,2.4753,lognorm,250,0.7
1078,0.722,44.6451 ,20.0357 ,2.6014,lognorm,250,0.75
1079,0.717,9.8125 ,20.0357 ,2.5184,lognorm,250,0.8
1080,0.76,20.0964 ,20.0357 ,3.1313,lognorm,250,0.85
1081,0.768,33.1057 ,20.0357 ,3.0837,lognorm,250,0.9
1082,0.772,27.1882 ,20.0357 ,3.4849,lognorm,250,0.95
1083,0.787,29.9330 ,20.0357 ,2.9656,lognorm,250,0.99
1084,0.186,17.5744 ,20.0357 ,-0.1749,lognorm,2500,0.1
1085,0.219,14.3909 ,20.0357 ,-0.1754,lognorm,2500,0.15
1086,0.264,18.4001 ,20.0357 ,-0.1694,lognorm,2500,0.2
1087,0.322,14.9866 ,20.0357 ,-0.1526,lognorm,2500,0.25
1088,0.339,16.5148 ,20.0357 ,-0.1512,lognorm,2500,0.3
1089,0.404,24.8196 ,20.0357 ,-0.1564,lognorm,2500,0.35
1090,0.423,21.0228 ,20.0357 ,0.2425,lognorm,2500,0.4
1091,0.447,21.4611 ,20.0357 ,0.2337,lognorm,2500,0.45
1092,0.501,18.3627 ,20.0357 ,0.2480,lognorm,2500,0.5
1093,0.539,25.4772 ,20.0357 ,0.1820,lognorm,2500,0.55
1094,0.573,16.7287 ,20.0357 ,0.2077,lognorm,2500,0.6
1095,0.577,24.4288 ,20.0357 ,0.2236,lognorm,2500,0.65
1096,0.602,29.8807 ,20.0357 ,0.4217,lognorm,2500,0.7
1097,0.671,31.1072 ,20.0357 ,0.4146,lognorm,2500,0.75
1098,0.718,29.1005 ,20.0357 ,0.4474,lognorm,2500,0.8
1099,0.763,28.7519 ,20.0357 ,0.3030,lognorm,2500,0.85
1100,0.816,23.8413 ,20.0357 ,0.4388,lognorm,2500,0.9
1101,0.901,27.4978 ,20.0357 ,1.0114,lognorm,2500,0.95
1102,0.98,33.9122 ,20.0357 ,1.0129,lognorm,2500,0.99
1103,0.204,10.4987 ,20.0357 ,-0.3546,lognorm,300,0.1
1104,0.222,23.7737 ,20.0357 ,-0.3927,lognorm,300,0.15
1105,0.231,14.9945 ,20.0357 ,-0.5201,lognorm,300,0.2
1106,0.326,10.9342 ,20.0357 ,0.6928,lognorm,300,0.25
1107,0.367,20.3340 ,20.0357 ,0.6946,lognorm,300,0.3
1108,0.448,28.2920 ,20.0357 ,1.0077,lognorm,300,0.35
1109,0.468,43.3560 ,20.0357 ,0.9203,lognorm,300,0.4
1110,0.517,12.7430 ,20.0357 ,1.2785,lognorm,300,0.45
1111,0.564,17.9463 ,20.0357 ,1.3186,lognorm,300,0.5
1112,0.55,22.1714 ,20.0357 ,1.5326,lognorm,300,0.55
1113,0.601,78.7474 ,20.0357 ,1.8746,lognorm,300,0.6
1114,0.623,64.4311 ,20.0357 ,2.0436,lognorm,300,0.65
1115,0.642,14.6076 ,20.0357 ,2.1428,lognorm,300,0.7
1116,0.683,16.4202 ,20.0357 ,2.0428,lognorm,300,0.75
1117,0.662,24.1147 ,20.0357 ,2.2817,lognorm,300,0.8
1118,0.695,120.8401 ,20.0357 ,2.4034,lognorm,300,0.85
1119,0.699,55.8397 ,20.0357 ,3.0488,lognorm,300,0.9
1120,0.726,24.9433 ,20.0357 ,2.7753,lognorm,300,0.95
1121,0.722,111.9065 ,20.0357 ,2.7732,lognorm,300,0.99
1122,0.157,14.6476 ,20.0357 ,-0.3346,lognorm,350,0.1
1123,0.186,19.7109 ,20.0357 ,-0.3195,lognorm,350,0.15
1124,0.229,14.4548 ,20.0357 ,-0.3701,lognorm,350,0.2
1125,0.264,15.6674 ,20.0357 ,0.5413,lognorm,350,0.25
1126,0.328,14.9691 ,20.0357 ,0.6247,lognorm,350,0.3
1127,0.371,15.9547 ,20.0357 ,0.6232,lognorm,350,0.35
1128,0.399,48.5184 ,20.0357 ,0.7469,lognorm,350,0.4
1129,0.441,22.5831 ,20.0357 ,0.8978,lognorm,350,0.45
1130,0.51,30.7589 ,20.0357 ,1.0680,lognorm,350,0.5
1131,0.546,33.7083 ,20.0357 ,1.2690,lognorm,350,0.55
1132,0.557,23.3558 ,20.0357 ,1.3737,lognorm,350,0.6
1133,0.591,13.7506 ,20.0357 ,1.4043,lognorm,350,0.65
1134,0.598,46.2949 ,20.0357 ,2.0343,lognorm,350,0.7
1135,0.63,29.7405 ,20.0357 ,1.9697,lognorm,350,0.75
1136,0.616,26.9312 ,20.0357 ,1.8875,lognorm,350,0.8
1137,0.642,31.1102 ,20.0357 ,2.1268,lognorm,350,0.85
1138,0.667,30.5483 ,20.0357 ,2.5856,lognorm,350,0.9
1139,0.678,51.1273 ,20.0357 ,2.4374,lognorm,350,0.95
1140,0.699,49.1410 ,20.0357 ,2.3261,lognorm,350,0.99
1141,0.33,13.0502 ,20.0357 ,-0.3440,lognorm,400,0.1
1142,0.361,23.8228 ,20.0357 ,-0.3130,lognorm,400,0.15
1143,0.436,13.6001 ,20.0357 ,-0.3322,lognorm,400,0.2
1144,0.486,15.5534 ,20.0357 ,-0.3660,lognorm,400,0.25
1145,0.482,25.5952 ,20.0357 ,0.4781,lognorm,400,0.3
1146,0.578,23.1347 ,20.0357 ,0.6017,lognorm,400,0.35
1147,0.633,26.2191 ,20.0357 ,0.9574,lognorm,400,0.4
1148,0.66,23.7658 ,20.0357 ,0.8537,lognorm,400,0.45
1149,0.684,17.2967 ,20.0357 ,1.0525,lognorm,400,0.5
1150,0.702,27.2340 ,20.0357 ,1.1347,lognorm,400,0.55
1151,0.744,22.8378 ,20.0357 ,1.2639,lognorm,400,0.6
1152,0.736,27.9752 ,20.0357 ,1.2674,lognorm,400,0.65
1153,0.754,197.1343 ,20.0357 ,1.5064,lognorm,400,0.7
1154,0.799,37.8454 ,20.0357 ,1.8446,lognorm,400,0.75
1155,0.814,23.1686 ,20.0357 ,1.8214,lognorm,400,0.8
1156,0.796,25.3673 ,20.0357 ,1.9124,lognorm,400,0.85
1157,0.824,26.3333 ,20.0357 ,1.9829,lognorm,400,0.9
1158,0.816,13.6367 ,20.0357 ,2.3654,lognorm,400,0.95
1159,0.83,16.9279 ,20.0357 ,2.1271,lognorm,400,0.99
1160,0.266,13.5590 ,20.0357 ,0.5607,lognorm,450,0.1
1161,0.347,23.9030 ,20.0357 ,-0.3102,lognorm,450,0.15
1162,0.401,14.8079 ,20.0357 ,-0.2818,lognorm,450,0.2
1163,0.454,17.3353 ,20.0357 ,-0.3304,lognorm,450,0.25
1164,0.468,11.6208 ,20.0357 ,0.4498,lognorm,450,0.3
1165,0.505,50.7199 ,20.0357 ,0.5231,lognorm,450,0.35
1166,0.547,19.6520 ,20.0357 ,0.6058,lognorm,450,0.4
1167,0.63,23.3083 ,20.0357 ,0.7920,lognorm,450,0.45
1168,0.663,26.1358 ,20.0357 ,0.9035,lognorm,450,0.5
1169,0.69,19.6022 ,20.0357 ,0.8663,lognorm,450,0.55
1170,0.678,51.4046 ,20.0357 ,1.2082,lognorm,450,0.6
1171,0.719,30.1803 ,20.0357 ,1.2849,lognorm,450,0.65
1172,0.729,27.4093 ,20.0357 ,1.9905,lognorm,450,0.7
1173,0.779,69.3418 ,20.0357 ,1.4959,lognorm,450,0.75
1174,0.768,24.7404 ,20.0357 ,1.3047,lognorm,450,0.8
1175,0.762,25.5513 ,20.0357 ,1.6550,lognorm,450,0.85
1176,0.814,32.6083 ,20.0357 ,2.0430,lognorm,450,0.9
1177,0.806,31.8093 ,20.0357 ,1.9929,lognorm,450,0.95
1178,0.801,38.4929 ,20.0357 ,1.9701,lognorm,450,0.99
1179,0.86,35.7590 ,20.0357 ,4.0133,lognorm,50,0.1
1180,0.885,126.6454 ,20.0357 ,5.5361,lognorm,50,0.15
1181,0.912,66.7098 ,20.0357 ,7.9832,lognorm,50,0.2
1182,0.934,9.9381 ,20.0357 ,9.1409,lognorm,50,0.25
1183,0.94,92.5668 ,20.0357 ,12.4211,lognorm,50,0.3
1184,0.956,8.6018 ,20.0357 ,16.7017,lognorm,50,0.35
1185,0.96,42.6028 ,20.0357 ,14.7167,lognorm,50,0.4
1186,0.961,128.2407 ,20.0357 ,17.2858,lognorm,50,0.45
1187,0.973,324.2336 ,20.0357 ,20.6022,lognorm,50,0.5
1188,0.967,623.2192 ,20.0357 ,25.0697,lognorm,50,0.55
1189,0.967,151.5362 ,20.0357 ,25.7502,lognorm,50,0.6
1190,0.973,11.1627 ,20.0357 ,30.0302,lognorm,50,0.65
1191,0.974,526.0307 ,20.0357 ,27.6060,lognorm,50,0.7
1192,0.973,245.3086 ,20.0357 ,28.6857,lognorm,50,0.75
1193,0.978,209.9775 ,20.0357 ,32.1650,lognorm,50,0.8
1194,0.98,278.8604 ,20.0357 ,35.0311,lognorm,50,0.85
1195,0.976,44.7246 ,20.0357 ,36.6507,lognorm,50,0.9
1196,0.987,1450.9300 ,20.0357 ,48.6877,lognorm,50,0.95
1197,0.988,64.2321 ,20.0357 ,41.5369,lognorm,50,0.99
1198,0.257,26.3373 ,20.0357 ,0.5179,lognorm,500,0.1
1199,0.304,15.4079 ,20.0357 ,0.5398,lognorm,500,0.15
1200,0.378,18.3519 ,20.0357 ,-0.2900,lognorm,500,0.2
1201,0.448,21.4397 ,20.0357 ,-0.3102,lognorm,500,0.25
1202,0.475,18.0864 ,20.0357 ,0.3893,lognorm,500,0.3
1203,0.506,21.1005 ,20.0357 ,0.4200,lognorm,500,0.35
1204,0.502,21.7242 ,20.0357 ,0.5915,lognorm,500,0.4
1205,0.564,22.5431 ,20.0357 ,0.6464,lognorm,500,0.45
1206,0.602,20.8651 ,20.0357 ,0.7529,lognorm,500,0.5
1207,0.629,13.9475 ,20.0357 ,0.9048,lognorm,500,0.55
1208,0.658,66.0223 ,20.0357 ,0.8942,lognorm,500,0.6
1209,0.696,34.5180 ,20.0357 ,1.0201,lognorm,500,0.65
1210,0.729,9.3214 ,20.0357 ,1.2346,lognorm,500,0.7
1211,0.722,41.1995 ,20.0357 ,1.2888,lognorm,500,0.75
1212,0.725,33.0161 ,20.0357 ,1.5275,lognorm,500,0.8
1213,0.748,128.0890 ,20.0357 ,1.6006,lognorm,500,0.85
1214,0.776,20.9731 ,20.0357 ,1.6166,lognorm,500,0.9
1215,0.757,19.4326 ,20.0357 ,1.6803,lognorm,500,0.95
1216,0.772,11.9040 ,20.0357 ,1.8602,lognorm,500,0.99
1217,0.197,16.2073 ,20.0357 ,0.6050,lognorm,600,0.1
1218,0.234,9.2784 ,20.0357 ,0.5645,lognorm,600,0.15
1219,0.282,19.0480 ,20.0357 ,0.5496,lognorm,600,0.2
1220,0.333,19.4712 ,20.0357 ,-0.2717,lognorm,600,0.25
1221,0.383,21.7332 ,20.0357 ,-0.2971,lognorm,600,0.3
1222,0.443,21.9325 ,20.0357 ,0.3408,lognorm,600,0.35
1223,0.472,45.6162 ,20.0357 ,0.4080,lognorm,600,0.4
1224,0.501,77.5642 ,20.0357 ,0.4563,lognorm,600,0.45
1225,0.498,20.7340 ,20.0357 ,0.5239,lognorm,600,0.5
1226,0.564,27.3168 ,20.0357 ,0.6929,lognorm,600,0.55
1227,0.601,16.4840 ,20.0357 ,0.7677,lognorm,600,0.6
1228,0.623,49.4644 ,20.0357 ,0.8492,lognorm,600,0.65
1229,0.668,20.2629 ,20.0357 ,0.9020,lognorm,600,0.7
1230,0.681,35.2795 ,20.0357 ,1.1567,lognorm,600,0.75
1231,0.696,35.4214 ,20.0357 ,1.1507,lognorm,600,0.8
1232,0.714,16.9026 ,20.0357 ,1.1877,lognorm,600,0.85
1233,0.727,29.7644 ,20.0357 ,1.5397,lognorm,600,0.9
1234,0.763,11.9789 ,20.0357 ,1.3968,lognorm,600,0.95
1235,0.79,19.8628 ,20.0357 ,1.6904,lognorm,600,0.99
1236,0.165,16.2632 ,20.0357 ,-0.2639,lognorm,700,0.1
1237,0.216,45.3570 ,20.0357 ,0.5808,lognorm,700,0.15
1238,0.241,13.1716 ,20.0357 ,0.5585,lognorm,700,0.2
1239,0.296,22.0053 ,20.0357 ,0.6405,lognorm,700,0.25
1240,0.326,12.6100 ,20.0357 ,-0.2749,lognorm,700,0.3
1241,0.36,18.6274 ,20.0357 ,-0.2724,lognorm,700,0.35
1242,0.434,14.8865 ,20.0357 ,0.3017,lognorm,700,0.4
1243,0.475,13.8123 ,20.0357 ,0.4092,lognorm,700,0.45
1244,0.448,18.4141 ,20.0357 ,0.4633,lognorm,700,0.5
1245,0.52,20.3972 ,20.0357 ,0.5067,lognorm,700,0.55
1246,0.538,23.4077 ,20.0357 ,0.6872,lognorm,700,0.6
1247,0.571,24.5181 ,20.0357 ,0.8546,lognorm,700,0.65
1248,0.638,32.2192 ,20.0357 ,0.8278,lognorm,700,0.7
1249,0.627,27.1465 ,20.0357 ,0.9520,lognorm,700,0.75
1250,0.705,30.0181 ,20.0357 ,1.1564,lognorm,700,0.8
1251,0.67,22.4839 ,20.0357 ,1.2222,lognorm,700,0.85
1252,0.726,28.4641 ,20.0357 ,1.2141,lognorm,700,0.9
1253,0.733,31.1765 ,20.0357 ,1.2750,lognorm,700,0.95
1254,0.734,51.5787 ,20.0357 ,1.4147,lognorm,700,0.99
1255,0.73,11.5972 ,20.0357 ,1.8269,lognorm,75,0.1
1256,0.805,12.3895 ,20.0357 ,3.2248,lognorm,75,0.15
1257,0.825,27.3558 ,20.0357 ,3.5741,lognorm,75,0.2
1258,0.871,42.1024 ,20.0357 ,5.2942,lognorm,75,0.25
1259,0.897,151.1628 ,20.0357 ,6.7410,lognorm,75,0.3
1260,0.887,282.7991 ,20.0357 ,6.8220,lognorm,75,0.35
1261,0.914,93.9833 ,20.0357 ,8.2451,lognorm,75,0.4
1262,0.914,14.2033 ,20.0357 ,11.6969,lognorm,75,0.45
1263,0.924,332.6736 ,20.0357 ,10.1225,lognorm,75,0.5
1264,0.934,60.9955 ,20.0357 ,11.4799,lognorm,75,0.55
1265,0.951,145.7356 ,20.0357 ,14.4825,lognorm,75,0.6
1266,0.942,74.7728 ,20.0357 ,14.2035,lognorm,75,0.65
1267,0.959,15.9884 ,20.0357 ,13.5364,lognorm,75,0.7
1268,0.948,49.4347 ,20.0357 ,17.6361,lognorm,75,0.75
1269,0.965,21.0973 ,20.0357 ,16.8131,lognorm,75,0.8
1270,0.959,1020.1903 ,20.0357 ,18.6374,lognorm,75,0.85
1271,0.962,96.2120 ,20.0357 ,18.4937,lognorm,75,0.9
1272,0.956,488.6153 ,20.0357 ,21.4403,lognorm,75,0.95
1273,0.961,205.2558 ,20.0357 ,18.2606,lognorm,75,0.99
1274,0.277,12.9517 ,20.0357 ,-0.2572,lognorm,800,0.1
1275,0.336,17.9736 ,20.0357 ,-0.2398,lognorm,800,0.15
1276,0.363,23.2841 ,20.0357 ,0.6752,lognorm,800,0.2
1277,0.416,24.5688 ,20.0357 ,0.6413,lognorm,800,0.25
1278,0.443,20.8409 ,20.0357 ,0.5864,lognorm,800,0.3
1279,0.509,25.0665 ,20.0357 ,0.6774,lognorm,800,0.35
1280,0.545,37.4169 ,20.0357 ,-0.2868,lognorm,800,0.4
1281,0.616,12.9937 ,20.0357 ,0.2811,lognorm,800,0.45
1282,0.607,21.3793 ,20.0357 ,0.3842,lognorm,800,0.5
1283,0.675,23.6856 ,20.0357 ,0.4408,lognorm,800,0.55
1284,0.664,24.8845 ,20.0357 ,0.5399,lognorm,800,0.6
1285,0.687,20.3143 ,20.0357 ,0.6541,lognorm,800,0.65
1286,0.717,13.2278 ,20.0357 ,0.7269,lognorm,800,0.7
1287,0.759,26.9249 ,20.0357 ,0.8923,lognorm,800,0.75
1288,0.779,19.8014 ,20.0357 ,0.8712,lognorm,800,0.8
1289,0.811,22.8263 ,20.0357 ,1.0682,lognorm,800,0.85
1290,0.801,26.0647 ,20.0357 ,1.1438,lognorm,800,0.9
1291,0.816,20.8378 ,20.0357 ,1.1891,lognorm,800,0.95
1292,0.833,19.0808 ,20.0357 ,1.4968,lognorm,800,0.99
1293,0.222,12.9036 ,20.0357 ,-0.2599,lognorm,900,0.1
1294,0.27,16.3709 ,20.0357 ,-0.2363,lognorm,900,0.15
1295,0.306,22.8269 ,20.0357 ,-0.2519,lognorm,900,0.2
1296,0.364,36.6709 ,20.0357 ,0.6197,lognorm,900,0.25
1297,0.396,18.8976 ,20.0357 ,0.5507,lognorm,900,0.3
1298,0.428,37.8639 ,20.0357 ,0.6806,lognorm,900,0.35
1299,0.466,29.3963 ,20.0357 ,0.6668,lognorm,900,0.4
1300,0.514,20.5041 ,20.0357 ,-0.2535,lognorm,900,0.45
1301,0.583,19.4633 ,20.0357 ,0.3028,lognorm,900,0.5
1302,0.643,19.7620 ,20.0357 ,0.4039,lognorm,900,0.55
1303,0.655,25.2910 ,20.0357 ,0.4333,lognorm,900,0.6
1304,0.655,24.6487 ,20.0357 ,0.5235,lognorm,900,0.65
1305,0.712,25.7032 ,20.0357 ,0.6861,lognorm,900,0.7
1306,0.721,30.7280 ,20.0357 ,0.7904,lognorm,900,0.75
1307,0.751,20.2398 ,20.0357 ,0.8789,lognorm,900,0.8
1308,0.797,57.7149 ,20.0357 ,0.9903,lognorm,900,0.85
1309,0.797,49.0849 ,20.0357 ,1.0389,lognorm,900,0.9
1310,0.81,61.2538 ,20.0357 ,1.2756,lognorm,900,0.95
1311,0.827,49.8360 ,20.0357 ,1.2649,lognorm,900,0.99
1312,0.613,6.1127 ,6.0000 ,0.3098,norm,100,0.1
1313,0.703,7.7530 ,6.0000 ,0.5539,norm,100,0.15
1314,0.768,12.6829 ,6.0000 ,0.7687,norm,100,0.2
1315,0.81,11.6099 ,6.0000 ,1.0848,norm,100,0.25
1316,0.855,11.9147 ,6.0000 ,1.2992,norm,100,0.3
1317,0.842,8.7022 ,6.0000 ,1.5717,norm,100,0.35
1318,0.854,23.6648 ,6.0000 ,1.7435,norm,100,0.4
1319,0.887,14.8787 ,6.0000 ,2.0094,norm,100,0.45
1320,0.876,25.7307 ,6.0000 ,2.3355,norm,100,0.5
1321,0.902,14.3401 ,6.0000 ,2.7066,norm,100,0.55
1322,0.914,10.0971 ,6.0000 ,2.8370,norm,100,0.6
1323,0.912,15.5449 ,6.0000 ,3.1802,norm,100,0.65
1324,0.915,39.2070 ,6.0000 ,3.3297,norm,100,0.7
1325,0.932,18.1101 ,6.0000 ,3.5759,norm,100,0.75
1326,0.937,6.6725 ,6.0000 ,3.8761,norm,100,0.8
1327,0.942,32.7853 ,6.0000 ,4.2271,norm,100,0.85
1328,0.919,11.6396 ,6.0000 ,4.1387,norm,100,0.9
1329,0.943,16.7322 ,6.0000 ,4.7206,norm,100,0.95
1330,0.956,21.6963 ,6.0000 ,4.8801,norm,100,0.99
1331,0.219,6.0783 ,6.0000 ,-0.0616,norm,1000,0.1
1332,0.186,5.3848 ,6.0000 ,-0.0712,norm,1000,0.15
1333,0.233,6.0052 ,6.0000 ,-0.0630,norm,1000,0.2
1334,0.307,6.0809 ,6.0000 ,-0.0589,norm,1000,0.25
1335,0.452,6.0781 ,6.0000 ,0.0794,norm,1000,0.3
1336,0.479,6.3129 ,6.0000 ,0.0822,norm,1000,0.35
1337,0.509,6.5222 ,6.0000 ,0.0862,norm,1000,0.4
1338,0.507,6.3061 ,6.0000 ,0.0882,norm,1000,0.45
1339,0.536,6.5922 ,6.0000 ,0.0897,norm,1000,0.5
1340,0.513,6.1268 ,6.0000 ,0.0666,norm,1000,0.55
1341,0.594,6.3806 ,6.0000 ,0.0716,norm,1000,0.6
1342,0.633,6.8906 ,6.0000 ,0.0846,norm,1000,0.65
1343,0.688,6.3991 ,6.0000 ,0.1002,norm,1000,0.7
1344,0.655,5.7283 ,6.0000 ,0.1127,norm,1000,0.75
1345,0.723,6.6667 ,6.0000 ,0.1416,norm,1000,0.8
1346,0.75,6.3897 ,6.0000 ,0.1564,norm,1000,0.85
1347,0.774,7.0774 ,6.0000 ,0.1787,norm,1000,0.9
1348,0.807,7.2402 ,6.0000 ,0.2043,norm,1000,0.95
1349,0.804,6.7484 ,6.0000 ,0.2226,norm,1000,0.99
1350,0.486,6.8739 ,6.0000 ,0.1846,norm,125,0.1
1351,0.593,8.4553 ,6.0000 ,0.2974,norm,125,0.15
1352,0.691,7.6990 ,6.0000 ,0.5078,norm,125,0.2
1353,0.737,7.4001 ,6.0000 ,0.6267,norm,125,0.25
1354,0.77,13.5823 ,6.0000 ,0.7885,norm,125,0.3
1355,0.765,16.2036 ,6.0000 ,0.9380,norm,125,0.35
1356,0.81,16.6481 ,6.0000 ,1.1491,norm,125,0.4
1357,0.825,9.2049 ,6.0000 ,1.2095,norm,125,0.45
1358,0.854,12.3291 ,6.0000 ,1.5030,norm,125,0.5
1359,0.861,20.2554 ,6.0000 ,1.7252,norm,125,0.55
1360,0.877,20.4539 ,6.0000 ,1.8255,norm,125,0.6
1361,0.879,7.8914 ,6.0000 ,2.0198,norm,125,0.65
1362,0.866,8.4181 ,6.0000 ,2.1887,norm,125,0.7
1363,0.901,13.8182 ,6.0000 ,2.3902,norm,125,0.75
1364,0.906,5.7480 ,6.0000 ,2.4965,norm,125,0.8
1365,0.919,20.3157 ,6.0000 ,2.6856,norm,125,0.85
1366,0.901,19.9461 ,6.0000 ,2.8255,norm,125,0.9
1367,0.916,27.2623 ,6.0000 ,3.0851,norm,125,0.95
1368,0.919,20.2720 ,6.0000 ,3.2271,norm,125,0.99
1369,0.229,5.6565 ,6.0000 ,-0.0688,norm,1250,0.1
1370,0.339,6.3314 ,6.0000 ,-0.0533,norm,1250,0.15
1371,0.368,6.2088 ,6.0000 ,-0.0522,norm,1250,0.2
1372,0.41,6.1945 ,6.0000 ,-0.0549,norm,1250,0.25
1373,0.366,6.1241 ,6.0000 ,-0.0524,norm,1250,0.3
1374,0.411,5.7438 ,6.0000 ,-0.0517,norm,1250,0.35
1375,0.432,5.2580 ,6.0000 ,-0.0533,norm,1250,0.4
1376,0.594,6.6444 ,6.0000 ,0.0875,norm,1250,0.45
1377,0.621,6.4735 ,6.0000 ,0.0919,norm,1250,0.5
1378,0.636,6.8690 ,6.0000 ,0.0962,norm,1250,0.55
1379,0.694,6.4699 ,6.0000 ,0.1028,norm,1250,0.6
1380,0.707,6.4011 ,6.0000 ,0.1079,norm,1250,0.65
1381,0.678,6.0585 ,6.0000 ,0.0788,norm,1250,0.7
1382,0.748,5.3868 ,6.0000 ,0.0935,norm,1250,0.75
1383,0.795,6.2724 ,6.0000 ,0.1103,norm,1250,0.8
1384,0.81,6.0901 ,6.0000 ,0.1292,norm,1250,0.85
1385,0.84,6.3223 ,6.0000 ,0.1593,norm,1250,0.9
1386,0.857,6.7966 ,6.0000 ,0.1839,norm,1250,0.95
1387,0.9,7.3430 ,6.0000 ,0.1985,norm,1250,0.99
1388,0.372,5.4655 ,6.0000 ,-0.1386,norm,150,0.1
1389,0.516,6.0124 ,6.0000 ,0.2172,norm,150,0.15
1390,0.597,7.6831 ,6.0000 ,0.3202,norm,150,0.2
1391,0.655,6.1772 ,6.0000 ,0.4238,norm,150,0.25
1392,0.712,7.8129 ,6.0000 ,0.5684,norm,150,0.3
1393,0.737,6.1830 ,6.0000 ,0.6520,norm,150,0.35
1394,0.77,9.9065 ,6.0000 ,0.8201,norm,150,0.4
1395,0.759,15.7219 ,6.0000 ,0.9170,norm,150,0.45
1396,0.813,14.0644 ,6.0000 ,1.0732,norm,150,0.5
1397,0.819,7.7756 ,6.0000 ,1.2013,norm,150,0.55
1398,0.851,10.9531 ,6.0000 ,1.3318,norm,150,0.6
1399,0.864,20.8805 ,6.0000 ,1.3784,norm,150,0.65
1400,0.867,19.1688 ,6.0000 ,1.5594,norm,150,0.7
1401,0.844,12.7931 ,6.0000 ,1.6285,norm,150,0.75
1402,0.869,14.7363 ,6.0000 ,1.8016,norm,150,0.8
1403,0.868,9.0270 ,6.0000 ,1.9334,norm,150,0.85
1404,0.877,9.6370 ,6.0000 ,2.0200,norm,150,0.9
